tsne_x,tsne_y,sound_type,file_name,gender,age,country
0.83516604,0.3030168,sigh,f1236_0_sigh, female,27, EN
0.7829705,0.6338739,throatclearing,f1541_0_throatclearing, female,25, EN
0.6683078,0.036523003,sniff,m1679_0_sniff, male,34, EN
0.79229736,0.6860877,throatclearing,m1783_0_throatclearing, male,19, AR
0.122311175,0.52046007,laughter,f1291_0_laughter, female,23, IT
0.5729768,0.506605,sneeze,m0209_0_sneeze, male,39, PT
0.20131914,0.61407685,laughter,f1284_0_laughter, female,38, FR
0.85108495,0.32601723,sigh,m1037_0_sigh, male,28, IT
0.66557276,0.8271165,cough,m0019_0_cough, male,23, PT
0.23809963,0.6097356,laughter,f2769_0_laughter, female,34, EN
0.7098367,0.20332368,sniff,m1329_0_sniff, male,33, TA
0.62761915,0.5696542,throatclearing,m2930_0_throatclearing, male,21, IT
0.63315475,0.26709253,sniff,f2769_0_sniff, female,34, EN
0.7386226,0.53770995,sneeze,f1956_2_sneeze, female,24, EN
0.27088764,0.66883755,laughter,f0998_0_laughter, female,30, EN
0.13550578,0.5239069,laughter,m2523_0_laughter, male,34, TA
0.17619446,0.6081717,laughter,m2536_0_laughter, male,31, EN
0.5983628,0.14513166,sniff,f2899_0_sniff, female,41, EN
0.66715854,0.45807925,sneeze,f1216_0_sneeze, female,50, EN
0.5109496,0.5342786,sigh,m1528_0_sigh, male,26, TA
0.97891694,0.7273747,throatclearing,f2985_0_throatclearing, female,26, IT
0.8063229,0.6259808,throatclearing,m1770_0_throatclearing, male,23, IT
0.55165136,0.60129005,sneeze,f0716_0_sneeze, female,25, EN
0.5310194,0.5822009,sneeze,f1941_1_sneeze, female,45, EN
0.6605254,0.36010653,sneeze,f0743_0_sneeze, female,28, BN
0.68614465,0.7564143,cough,m1794_0_cough, male,34, PT
0.44521478,0.43247876,cough,m3123_0_cough, male,38, EN
0.56579244,0.1721305,sniff,f0511_0_sniff, female,24, EN
0.7373261,0.273528,sigh,f0748_0_sigh, female,53, ES
0.5355635,0.49812093,cough,m0186_0_cough, male,56, EN
0.5755949,0.19676955,sniff,m2743_0_sniff, male,29, EN
0.5648565,0.8096684,cough,m2731_0_cough, male,35, UR
0.60490876,0.60101235,sneeze,m2047_0_sneeze, male,40, HI
0.5575379,0.21109058,sniff,f1303_0_sniff, female,50, EN
0.745392,0.68739146,cough,m0563_2_cough, male,45, EN
0.60412604,0.9267802,cough,f2684_0_cough, female,30, EN
0.74512887,0.94937927,cough,f1621_0_cough, female,53, EN
0.22207122,0.55016774,laughter,m0262_0_laughter, male,42, EN
0.6802249,0.8651301,cough,m2261_0_cough, male,33, EN
0.59207827,0.8872426,throatclearing,m0618_0_throatclearing, male,27, EN
0.56224734,0.04168588,sniff,f1653_0_sniff, female,43, EN
0.6011849,0.35966086,sneeze,f2558_0_sneeze, female,22, EN
0.09464498,0.5476848,laughter,f0028_0_laughter, female,51, EN
0.7430672,0.2153362,sigh,m0056_0_sigh, male,25, IT
0.5636295,0.8997978,cough,m1864_0_cough, male,22, EN
0.74448955,0.29352716,sigh,m2393_0_sigh, male,22, PT
0.8127814,0.2555573,sigh,f2192_0_sigh, female,25, EN
0.7256105,0.4692149,laughter,f2368_0_laughter, female,18, EN
0.78285915,0.54880404,sneeze,m0973_0_sneeze, male,37, EN
0.84480894,0.7810697,throatclearing,f0627_0_throatclearing, female,55, EN
0.022101572,0.57496476,laughter,f1685_0_laughter, female,25, EN
0.63974863,0.27143338,sniff,m0882_0_sniff, male,62, EN
0.10855904,0.5971526,laughter,f1690_0_laughter, female,19, EN
0.62560654,0.5331919,sneeze,f0067_0_sneeze, female,22, EN
0.86807543,0.81060374,throatclearing,f1352_0_throatclearing, female,44, EN
0.26331353,0.6966865,laughter,f0674_0_laughter, female,38, EN
0.5515871,0.04944871,sniff,f1585_0_sniff, female,34, SW
0.7659257,0.9415895,cough,f3340_0_cough, female,39, EN
0.5376252,0.12576571,sniff,m0772_0_sniff, male,37, EN
0.48829147,0.5461276,throatclearing,m1190_0_throatclearing, male,42, EN
0.6939507,0.8312471,cough,m0700_0_cough, male,30, HI
0.6428711,0.16272557,sniff,f3332_0_sniff, female,29, EN
0.11595474,0.5026437,laughter,f0661_0_laughter, female,40, EN
0.69681823,0.27910033,sigh,m1762_0_sigh, male,28, PT
0.1089584,0.5061313,laughter,f2890_0_laughter, female,36, EN
0.63509375,0.7508789,cough,m1112_0_cough, male,27, EN
0.12879495,0.567043,laughter,f2885_0_laughter, female,38, EN
0.5122258,0.104263924,sniff,f2520_0_sniff, female,24, EN
0.077665225,0.50431967,laughter,m2137_0_laughter, male,24, PT
0.6461872,0.5748809,sneeze,m0578_0_sneeze, male,37, EN
0.5527664,0.22293676,sniff,m0222_0_sniff, male,32, TA
0.869199,0.7251436,throatclearing,f0450_0_throatclearing, female,25, EN
0.6175607,0.23064262,sniff,m2495_0_sniff, male,34, EN
0.72972673,0.6985134,cough,m0250_0_cough, male,40, EN
0.6550867,0.41466558,sneeze,f1939_0_sneeze, female,69, EN
0.61891973,0.8751388,cough,m1442_0_cough, male,51, EN
0.11829902,0.51454705,laughter,m2892_0_laughter, male,19, EN
0.16458087,0.64144987,laughter,m2887_0_laughter, male,27, EN
0.8227701,0.8748833,sigh,f1201_0_sigh, female,31, IT
0.70647925,0.24384545,sneeze,m2763_0_sneeze, male,31, PT
0.5461715,0.8098343,sneeze,m3263_0_sneeze, male,46, EN
0.64966327,0.19749421,sniff,f0208_0_sniff, female,40, EN
0.7859717,0.94277483,cough,f1138_0_cough, female,35, HI
0.5652925,0.8812457,cough,m2578_0_cough, male,40, EN
0.8933005,0.71322685,throatclearing,f1242_1_throatclearing, female,39, EN
0.1281929,0.5111427,laughter,m1687_0_laughter, male,58, EN
0.5837135,0.53890556,sneeze,m2736_0_sneeze, male,36, EN
0.6390393,0.06535828,sniff,m3318_0_sniff, male,24, PT
0.042095996,0.5558027,laughter,f1141_0_laughter, female,40, EN
0.68655676,0.3584933,sigh,f2086_0_sigh, female,49, EN
0.65222204,0.19449858,sniff,f2112_0_sniff, female,41, IT
0.09692143,0.6056756,laughter,f1154_0_laughter, female,23, EN
0.63969606,0.7760043,cough,m1520_0_cough, male,27, EN
0.7895095,0.7828453,cough,f3222_0_cough, female,31, EN
0.8124942,0.83489496,cough,f1495_0_cough, female,50, EN
0.65892243,0.82368773,cough,m0662_0_cough, male,25, EN
0.60674816,0.61250734,sniff,m1002_0_sniff, male,26, PT
0.80212307,0.22037853,sigh,m0142_0_sigh, male,24, IT
0.8485464,0.9357073,cough,f0287_0_cough, female,37, EN
0.8091758,0.78979844,sneeze,f0110_0_sneeze, female,33, TA
0.13917679,0.50168306,laughter,m0817_0_laughter, male,30, IT
0.77590054,0.6738341,throatclearing,m3338_0_throatclearing, male,59, EN
0.77933455,0.22172165,sigh,f2599_0_sigh, female,38, HI
0.76611084,0.4854864,sigh,f1440_0_sigh, female,20, EN
0.60645366,0.490354,cough,f0827_0_cough, female,29, EN
0.81217134,0.20481169,sigh,m1641_0_sigh, male,33, EN
0.65338165,0.22363016,sniff,m2468_0_sniff, male,32, EN
0.54064995,0.031067345,sniff,f1028_0_sniff, female,23, EN
0.5764547,0.52601755,sneeze,m3341_0_sneeze, male,42, EN
0.31858504,0.65791357,laughter,f0815_0_laughter, female,42, EN
0.0519507,0.57502997,laughter,f0800_0_laughter, female,31, EN
0.709764,0.68770033,throatclearing,m0965_0_throatclearing, male,30, ML
0.6039605,0.053110246,sniff,m2138_0_sniff, male,28, EN
0.10475815,0.57247263,laughter,f1309_0_laughter, female,50, EN
0.85033256,0.21820498,sigh,f0421_0_sigh, female,23, EN
0.6259006,0.25189698,sniff,f1578_0_sniff, female,41, IT
0.63129896,0.55373746,sneeze,m3314_0_sneeze, male,55, EN
0.7474134,0.20745806,sigh,m0620_0_sigh, male,39, EN
0.5216175,0.44327226,throatclearing,f2092_0_throatclearing, female,26, PT
0.96545994,0.7528532,throatclearing,f0923_0_throatclearing, female,49, EN
0.15690772,0.6392709,laughter,m1143_0_laughter, male,51, ES
0.6029545,0.53017795,throatclearing,m0996_0_throatclearing, male,19, EN
0.76761717,0.38693112,sigh,f1322_0_sigh, female,29, EN
0.8495799,0.37740576,sigh,m1123_0_sigh, male,21, EN
0.66806287,0.45741543,sneeze,f1334_0_sneeze, female,23, EN
0.6069375,0.34777445,sneeze,m1681_0_sneeze, male,21, EN
0.29490697,0.64455116,laughter,m3203_0_laughter, male,27, ML
0.7266683,0.41051808,sigh,f0109_0_sigh, female,31, ES
0.73773,0.93610966,cough,f2989_0_cough, female,59, EN
